team,name,nationality,position,apps,mins,goals,xg,goals_vs_xg,shots,sot,conv_pct,xg_per_shot,goals_x90,xg_x90,goals_vs_xg_x90,shots_x90,sot_x90,xg_per_90,goals_per_90,xa_per_90,assists_per_90,start_probability,status,saves_made,goals_conceded,save_perc,goals_prevented,xgot_conceded
United States,Antonee Robinson,United States,DF,2,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Joe Scally,United States,DF,2,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Haji Wright,United States,FW,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Mert Muldur,Turkiye,DF,3,100,0.0,0.2,-0.2,3.0,0.0,0.0,0.07,0.0,0.18,-0.18,2.7,0.0,0.18,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Weston McKennie,United States,MF,3,265,0.0,0.54,-0.54,5.0,1.0,0.0,0.11,0.0,0.18,-0.18,1.7,0.34,0.18,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Merih Demiral,Turkiye,DF,2,180,0.0,0.35,-0.35,6.0,2.0,0.0,0.06,0.0,0.17,-0.17,3.0,1.0,0.17,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Mark McKenzie,United States,DF,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Caglar Soyuncu,Turkiye,DF,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Malik Tillman,United States,MF,3,176,0.0,0.65,-0.65,5.0,2.0,0.0,0.13,0.0,0.33,-0.33,2.56,1.02,0.33,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Baris Alper Yilmaz,Turkiye,FW,3,179,1.0,0.91,0.09,2.0,1.0,50.0,0.45,0.5,0.46,0.05,1.01,0.5,0.46,0.5,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Timothy Weah,United States,FW,2,76,0.0,0.05,-0.05,2.0,0.0,0.0,0.02,0.0,0.06,-0.06,2.37,0.0,0.06,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Brenden Aaronson,United States,MF,1,77,0.0,0.48,-0.48,3.0,1.0,0.0,0.16,0.0,0.56,-0.56,3.51,1.17,0.56,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Sergino Dest,United States,DF,3,166,0.0,0.13,-0.13,3.0,1.0,0.0,0.04,0.0,0.07,-0.07,1.63,0.54,0.07,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Hakan Calhanoglu,Turkiye,MF,2,180,0.0,0.41,-0.41,11.0,2.0,0.0,0.04,0.0,0.2,-0.2,5.5,1.0,0.2,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Oguz Aydin,Turkiye,FW,1,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Zeki Celik,Turkiye,DF,2,165,0.0,0.1,-0.1,1.0,1.0,0.0,0.1,0.0,0.05,-0.05,0.55,0.55,0.05,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Sebastian Berhalter,United States,MF,3,151,1.0,0.07,0.93,2.0,1.0,50.0,0.04,0.6,0.04,0.55,1.19,0.6,0.04,0.6,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Folarin Balogun,United States,FW,2,161,2.0,0.69,1.31,7.0,3.0,28.57,0.1,1.12,0.39,0.73,3.91,1.68,0.39,1.12,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Alex Freeman,United States,DF,3,193,1.0,0.34,0.66,1.0,1.0,100.0,0.34,0.47,0.16,0.31,0.47,0.47,0.16,0.47,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Miles Robinson,United States,DF,1,90,0.0,0.08,-0.08,1.0,0.0,0.0,0.08,0.0,0.08,-0.08,1.0,0.0,0.08,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Max Arfsten,United States,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Irfan Can Kahveci,Turkiye,MF,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Kenan Yildiz,Turkiye,FW,3,219,0.0,0.49,-0.49,14.0,1.0,0.0,0.04,0.0,0.2,-0.2,5.75,0.41,0.2,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Kaan Ayhan,Turkiye,DF,1,2,1.0,0.9,0.1,1.0,1.0,100.0,0.9,45.0,40.5,4.5,45.0,45.0,40.5,45.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Chris Richards,United States,DF,2,180,0.0,0.04,-0.04,1.0,0.0,0.0,0.04,0.0,0.02,-0.02,0.5,0.0,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Ferdi Kadioglu,Turkiye,DF,2,160,0.0,0.04,-0.04,1.0,0.0,0.0,0.04,0.0,0.02,-0.02,0.56,0.0,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Ismail Yuksek,Turkiye,MF,2,141,0.0,0.23,-0.23,5.0,0.0,0.0,0.05,0.0,0.15,-0.15,3.19,0.0,0.15,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Orkun Kokcu,Turkiye,MF,3,154,0.0,0.76,-0.76,3.0,0.0,0.0,0.25,0.0,0.44,-0.44,1.75,0.0,0.44,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Yunus Akgun,Turkiye,FW,2,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
United States,Giovanni Reyna,United States,MF,3,85,1.0,0.18,0.82,2.0,1.0,50.0,0.09,1.06,0.19,0.87,2.12,1.06,0.19,1.06,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Turkiye,Salih Ozcan,Turkiye,MF,2,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Paul Okon-Engstler,Australia,MF,3,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Mauricio,Paraguay,MF,2,90,1.0,0.32,0.68,3.0,3.0,33.33,0.11,1.0,0.32,0.68,3.0,3.0,0.32,1.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Cameron Burgess,Australia,DF,2,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Connor Metcalfe,Australia,MF,3,225,1.0,0.09,0.91,3.0,2.0,33.33,0.03,0.4,0.04,0.36,1.2,0.8,0.04,0.4,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Julio Enciso,Paraguay,MF,3,269,0.0,0.21,-0.21,5.0,0.0,0.0,0.04,0.0,0.07,-0.07,1.67,0.0,0.07,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Alejandro Romero,Paraguay,MF,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Cameron Devlin,Australia,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Gustavo Velazquez,Paraguay,DF,3,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Gustavo Caballero,Paraguay,FW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Mohamed Toure,Australia,FW,2,119,0.0,0.08,-0.08,2.0,1.0,0.0,0.04,0.0,0.06,-0.06,1.51,0.76,0.06,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Omar Alderete,Paraguay,DF,3,264,0.0,0.01,-0.01,1.0,0.0,0.0,0.01,0.0,0.0,-0.0,0.34,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Gustavo Gomez,Paraguay,DF,3,270,0.0,0.05,-0.05,1.0,0.0,0.0,0.05,0.0,0.02,-0.02,0.33,0.0,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Jose Canale,Paraguay,DF,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Tete Yengi,Australia,FW,2,22,0.0,0.07,-0.07,1.0,1.0,0.0,0.07,0.0,0.29,-0.29,4.09,4.09,0.29,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Diego Gomez,Paraguay,MF,3,236,0.0,0.22,-0.22,5.0,0.0,0.0,0.04,0.0,0.08,-0.08,1.91,0.0,0.08,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Nishan Velupillay,Australia,FW,2,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Jason Geria,Australia,DF,2,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Jordan Bos,Australia,DF,3,264,0.0,0.24,-0.24,5.0,2.0,0.0,0.05,0.0,0.08,-0.08,1.7,0.68,0.08,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Harry Souttar,Australia,DF,3,270,0.0,0.04,-0.04,1.0,1.0,0.0,0.04,0.0,0.01,-0.01,0.33,0.33,0.01,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Fabian Balbuena,Paraguay,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Antonio Sanabria,Paraguay,FW,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Milos Degenek,Australia,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Kai Trewin,Australia,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Jackson Irvine,Australia,MF,3,102,0.0,0.19,-0.19,2.0,1.0,0.0,0.09,0.0,0.17,-0.17,1.76,0.88,0.17,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Ajdin Hrustic,Australia,MF,1,32,0.0,0.04,-0.04,1.0,0.0,0.0,0.04,0.0,0.11,-0.11,2.81,0.0,0.11,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Junior Alonso,Paraguay,DF,3,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Matias Galarza,Paraguay,MF,2,178,1.0,0.09,0.91,2.0,1.0,50.0,0.05,0.51,0.05,0.46,1.01,0.51,0.05,0.51,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Alessandro Circati,Australia,DF,3,270,0.0,0.53,-0.53,2.0,0.0,0.0,0.27,0.0,0.18,-0.18,0.67,0.0,0.18,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Alex Arce,Paraguay,FW,2,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Andres Cubas,Paraguay,MF,3,270,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,0.0,0.01,-0.01,0.33,0.0,0.01,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Lucas Herrington,Australia,DF,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Nestory Irankunda,Australia,FW,3,190,1.0,0.51,0.49,4.0,2.0,25.0,0.13,0.47,0.24,0.23,1.89,0.95,0.24,0.47,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Ramon Sosa,Paraguay,FW,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Braian Ojeda,Paraguay,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Cristian Volpato,Australia,MF,2,87,0.0,0.18,-0.18,2.0,1.0,0.0,0.09,0.0,0.19,-0.19,2.07,1.03,0.19,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Isidro Pitta,Paraguay,FW,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Alexandro Maidana,Paraguay,DF,2,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Damian Bobadilla,Paraguay,MF,3,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Aziz Behich,Australia,DF,2,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Gabriel Avalos,Paraguay,FW,2,68,0.0,0.05,-0.05,1.0,0.0,0.0,0.05,0.0,0.07,-0.07,1.32,0.0,0.07,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Awer Mabil,Australia,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Australia,Aiden O'Neill,Australia,MF,3,270,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,0.0,0.01,-0.01,0.33,0.0,0.01,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Paraguay,Juan Jose Caceres,Paraguay,DF,3,250,0.0,0.06,-0.06,2.0,1.0,0.0,0.03,0.0,0.02,-0.02,0.72,0.36,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Mortadha Ben Ouanes,Tunisia,MF,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Lutsharel Geertruida,Netherlands,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Hannibal Mejbri,Tunisia,MF,3,270,0.0,0.06,-0.06,3.0,1.0,0.0,0.02,0.0,0.02,-0.02,1.0,0.33,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Firas Chaouat,Tunisia,FW,3,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Ellyes Skhiri,Tunisia,MF,3,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Ismael Gharbi,Tunisia,FW,3,127,0.0,0.23,-0.23,3.0,0.0,0.0,0.08,0.0,0.16,-0.16,2.13,0.0,0.16,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Teun Koopmeiners,Netherlands,MF,3,69,0.0,0.16,-0.16,2.0,0.0,0.0,0.08,0.0,0.21,-0.21,2.61,0.0,0.21,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Justin Kluivert,Netherlands,FW,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Anis Ben Slimane,Tunisia,MF,3,242,0.0,0.13,-0.13,1.0,1.0,0.0,0.13,0.0,0.05,-0.05,0.37,0.37,0.05,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Ali Abdi,Tunisia,DF,3,269,0.0,0.06,-0.06,1.0,0.0,0.0,0.06,0.0,0.02,-0.02,0.33,0.0,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Frenkie de Jong,Netherlands,MF,3,221,0.0,0.11,-0.11,1.0,0.0,0.0,0.11,0.0,0.04,-0.04,0.41,0.0,0.04,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Montassar Talbi,Tunisia,DF,3,270,0.0,0.15,-0.15,1.0,0.0,0.0,0.15,0.0,0.05,-0.05,0.33,0.0,0.05,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Nathan Ake,Netherlands,DF,2,99,0.0,0.12,-0.12,1.0,0.0,0.0,0.12,0.0,0.11,-0.11,0.91,0.0,0.11,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Elias Achouri,Tunisia,MF,3,41,0.0,0.09,-0.09,3.0,1.0,0.0,0.03,0.0,0.2,-0.2,6.59,2.2,0.2,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Crysencio Summerville,Netherlands,FW,3,133,2.0,0.11,1.89,2.0,2.0,100.0,0.05,1.35,0.07,1.28,1.35,1.35,0.07,1.35,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Noa Lang,Netherlands,FW,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Rayan Elloumi,Tunisia,FW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Guus Til,Netherlands,MF,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Ryan Gravenberch,Netherlands,MF,3,261,0.0,0.13,-0.13,3.0,0.0,0.0,0.04,0.0,0.04,-0.04,1.03,0.0,0.04,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Brian Brobbey,Netherlands,FW,3,154,3.0,1.84,1.16,4.0,3.0,75.0,0.46,1.75,1.08,0.68,2.34,1.75,1.08,1.75,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Jorrel Hato,Netherlands,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Rani Khedira,Tunisia,MF,3,151,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,0.0,0.01,-0.01,0.6,0.0,0.01,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Dylan Bronn,Tunisia,DF,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Raed Chikhaoui,Tunisia,DF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Khalil Ayari,Tunisia,FW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Yan Valery,Tunisia,DF,3,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Tunisia,Elias Saad,Tunisia,FW,2,117,0.0,0.03,-0.03,1.0,0.0,0.0,0.03,0.0,0.02,-0.02,0.77,0.0,0.02,0.0,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
Netherlands,Jan Paul van Hecke,Netherlands,DF,3,270,1.0,0.24,0.76,3.0,2.0,33.33,0.08,0.33,0.08,0.25,1.0,0.67,0.08,0.33,0.05,0.05,0.8,active,0.0,0.0,0.0,0.0,0.0
